iter	Logloss
0	0.6833862687
1	0.6738395825
2	0.6647377351
3	0.6561513913
4	0.6459022052
5	0.6371657032
6	0.6263992289
7	0.6186012071
8	0.6086907096
9	0.6012128731
10	0.5941385901
11	0.5869245442
12	0.5803317316
13	0.5712892077
14	0.5626296714
15	0.5546907346
16	0.5481131988
17	0.5426122845
18	0.5366443039
19	0.5302720845
20	0.5236179291
21	0.5181102422
22	0.511903187
23	0.5064135145
24	0.5007094933
25	0.495599902
26	0.4915606677
27	0.4867145769
28	0.4826926907
29	0.4783528495
30	0.4732809212
31	0.4686438664
32	0.4647966679
33	0.4605489812
34	0.4554528845
35	0.4505735529
36	0.4464270909
37	0.4427573744
38	0.4391471274
39	0.4359244778
40	0.4307295717
41	0.4266211858
42	0.4229957001
43	0.4199478242
44	0.4164111816
45	0.4131370614
46	0.4095960778
47	0.4059400133
48	0.4028408821
49	0.3995814436
50	0.396350609
51	0.3934261073
52	0.3910605911
53	0.3890002265
54	0.3859127873
55	0.3828816262
56	0.3809475339
57	0.3778716262
58	0.3742089037
59	0.3714663101
60	0.3693616696
61	0.367882433
62	0.3658039114
63	0.3636084972
64	0.3611522013
65	0.3590544823
66	0.356555555
67	0.3541595339
68	0.3526613186
69	0.3510708701
70	0.3488264279
71	0.3464250077
72	0.3435040768
73	0.3413042542
74	0.3388985108
75	0.3370959767
76	0.3350854568
77	0.3334781965
78	0.3303270091
79	0.3285198831
80	0.326386672
81	0.3239853159
82	0.322030439
83	0.3198724507
84	0.3186717927
85	0.3173929749
86	0.3151305221
87	0.3130892623
88	0.3115406401
89	0.3100888623
90	0.3078402049
91	0.305609882
92	0.3037056648
93	0.3018642119
94	0.3001118993
95	0.2982789467
96	0.2964733939
97	0.2946657835
98	0.293315308
99	0.2914061389
100	0.2895660596
101	0.287758187
102	0.2864390731
103	0.2846781945
104	0.2836749409
105	0.2819825268
106	0.2799978465
107	0.2785743092
108	0.2773779492
109	0.2755696575
110	0.2738095395
111	0.2723709081
112	0.2713732232
113	0.269995601
114	0.2680719208
115	0.2670558857
116	0.2657477563
117	0.2644972251
118	0.2629455207
119	0.2621875588
120	0.2612459302
121	0.2591032453
122	0.2572543267
123	0.2562529767
124	0.2548763365
125	0.2538475843
126	0.2531262785
127	0.2513668411
128	0.2503776129
129	0.249048274
130	0.2479708653
131	0.2466919463
132	0.2450328879
133	0.2438185198
134	0.2429355182
135	0.2413313174
136	0.2400960304
137	0.2393061884
138	0.2382156426
139	0.2372488992
140	0.2362476308
141	0.2352074951
142	0.2336084216
143	0.2321989379
144	0.2313274681
145	0.2303461002
146	0.2294631847
147	0.2286465376
148	0.2277814986
149	0.226064914
150	0.2249638629
151	0.2238893389
152	0.222865181
153	0.2221096625
154	0.2211654277
155	0.2203487001
156	0.2192802067
157	0.2186615661
158	0.2179194682
159	0.2169027496
160	0.2160124967
161	0.2150452748
162	0.2144331425
163	0.2134132835
164	0.2125640415
165	0.2116633256
166	0.2109806343
167	0.2102985049
168	0.2097327794
169	0.208967825
170	0.2083283688
171	0.2073990568
172	0.2063927049
173	0.2057820928
174	0.204776096
175	0.2041815304
176	0.2032087184
177	0.2026241834
178	0.2014720574
179	0.2008426655
180	0.2004129678
181	0.1995916576
182	0.19889864
183	0.1973278644
184	0.1966270864
185	0.1958796707
186	0.1949890585
187	0.1941292263
188	0.1935681704
189	0.1929449493
190	0.1921422282
191	0.1916696044
192	0.1911610724
193	0.1908141051
194	0.1900823545
195	0.1895944048
196	0.1891765248
197	0.1887075604
198	0.1871273914
199	0.1867925226
