iter	Passed	Remaining
0	9	1821
1	16	1640
2	23	1531
3	30	1475
4	36	1441
5	43	1419
6	50	1403
7	57	1382
8	64	1372
9	71	1357
10	78	1344
11	85	1342
12	92	1330
13	99	1322
14	107	1320
15	114	1312
16	121	1308
17	128	1298
18	135	1289
19	141	1277
20	148	1267
21	155	1259
22	162	1251
23	169	1243
24	176	1234
25	183	1226
26	189	1216
27	196	1208
28	203	1201
29	210	1192
30	217	1184
31	224	1176
32	231	1169
33	238	1162
34	244	1154
35	252	1148
36	259	1141
37	265	1133
38	273	1128
39	280	1121
40	287	1113
41	293	1105
42	300	1097
43	307	1089
44	314	1082
45	321	1076
46	328	1070
47	335	1062
48	342	1055
49	349	1047
50	356	1040
51	363	1033
52	369	1025
53	376	1017
54	383	1011
55	390	1004
56	397	997
57	404	991
58	411	983
59	418	977
60	425	969
61	432	962
62	439	954
63	445	947
64	452	939
65	459	932
66	466	925
67	472	918
68	480	911
69	487	905
70	495	899
71	502	893
72	509	886
73	517	881
74	525	875
75	532	869
76	539	862
77	546	854
78	553	847
79	560	840
80	567	833
81	574	826
82	581	819
83	588	812
84	595	805
85	601	797
86	608	790
87	615	783
88	623	777
89	630	770
90	636	762
91	643	755
92	650	748
93	657	741
94	664	734
95	671	727
96	677	719
97	684	712
98	692	706
99	698	698
100	705	691
101	712	684
102	719	677
103	726	670
104	733	663
105	740	656
106	747	649
107	754	642
108	761	635
109	768	628
110	775	622
111	782	614
112	789	607
113	795	600
114	802	593
115	809	586
116	816	579
117	823	572
118	830	565
119	836	557
120	844	551
121	851	544
122	858	537
123	864	529
124	871	522
125	877	515
126	884	508
127	891	501
128	898	494
129	904	487
130	911	480
131	918	473
132	925	466
133	932	459
134	939	452
135	946	445
136	953	438
137	959	431
138	966	424
139	973	417
140	980	410
141	987	403
142	993	396
143	1000	388
144	1006	381
145	1013	374
146	1020	367
147	1026	360
148	1033	353
149	1040	346
150	1047	339
151	1054	332
152	1061	325
153	1067	318
154	1074	311
155	1081	305
156	1087	297
157	1094	290
158	1101	283
159	1107	276
160	1114	270
161	1121	263
162	1128	256
163	1135	249
164	1141	242
165	1148	235
166	1155	228
167	1161	221
168	1168	214
169	1174	207
170	1181	200
171	1188	193
172	1194	186
173	1201	179
174	1207	172
175	1214	165
176	1220	158
177	1227	151
178	1234	144
179	1240	137
180	1247	130
181	1254	124
182	1260	117
183	1267	110
184	1273	103
185	1280	96
186	1286	89
187	1293	82
188	1299	75
189	1306	68
190	1312	61
191	1319	54
192	1325	48
193	1332	41
194	1339	34
195	1346	27
196	1353	20
197	1360	13
198	1367	6
199	1374	0
